ID,Match #,Team,G#,R#,A/D,Map,Type,W/L,Rank,Bet%,Against,EnR,P1,KDS1,P1 Picks,P2,KDS2,P2 Picks,P3,KDS3,P3 Picks,P4,KDS4,P4 Picks,P5,KDS5,P5 Picks,P6,KDS6,P6 Picks,VOD URL
4111,4,KongDoo Panthera,1,1,N/A,Ilios,Control,Win,10,62,fnatic.ow,7,wakawaka,4|0|0,D.Va,EVERMORE,2|1|0,Zarya,Rascal,8|0|0,Soldier:76,LuffyOW,1|3|0,Ana,Fissure,5|2|0,Reinhardt,BlingOW,1|0|0,Lucio,https|//youtu.be/Rdd9AMMLweE?t=18m39s
4121,4,KongDoo Panthera,1,2,N/A,Ilios,Control,Win,10,62,fnatic.ow,7,wakawaka,5|2|0,D.Va,EVERMORE,10|2|1,Roadhog,Rascal,9|4|0,"Tracer, Pharah",LuffyOW,3|4|0,Ana,Fissure,2|3|0,Reinhardt,BlingOW,5|3|0,"Lucio, Tracer, Lucio",https|//youtu.be/Rdd9AMMLweE?t=23m28s
4112,4,fnatic.ow,1,1,N/A,Ilios,Control,Loss,7,38,KongDoo Panthera,10,Vonethil,1|3|1,Lucio,coolmatt69,1|4|0,Zarya,budS,0|4|0,Tracer,Stoop,2|4|0,Reinhardt,custa,0|3|0,Ana,Hafficool,2|3|1,D.Va,https|//youtu.be/Rdd9AMMLweE?t=18m39s
4122,4,fnatic.ow,1,2,N/A,Ilios,Control,Loss,7,38,KongDoo Panthera,10,Vonethil,1|5|0,Lucio,coolmatt69,3|6|0,Zarya,budS,4|5|0,"Tracer, Soldier:76",Stoop,6|5|0,Reinhardt,custa,0|6|0,Ana,Hafficool,4|6|0,"D.Va, Roadhog",https|//youtu.be/Rdd9AMMLweE?t=23m28s
4211,4,KongDoo Panthera,2,1,D,Eichen,Hybrid,2/3CP,10,62,fnatic.ow,7,wakawaka,13|2|0,D.Va,EVERMORE,2|4|0,"Zarya, Roadhog",Rascal,6|3|0,"Pharah, Soldier:76",LuffyOW,2|3|0,Ana,Fissure,8|2|0,Reinhardt,BlingOW,2|2|0,"Mei, Lucio",https|//youtu.be/Rdd9AMMLweE?t=33m20s
4221,4,KongDoo Panthera,2,2,A,Eichen,Hybrid,2/2CP,10,62,fnatic.ow,7,wakawaka,4|2|0,"Tracer, D.Va",EVERMORE,8|2|0,"Zarya, Roadhog",Rascal,4|2|0,"Genji, Pharah, Soldier:76",LuffyOW,0|1|0,Ana,Fissure,1|2|0,"Winston, Reinhardt",BlingOW,2|0|0,Lucio,https|//youtu.be/Rdd9AMMLweE?t=41m46s
4212,4,fnatic.ow,2,1,A,Eichen,Hybrid,1/3CP,7,38,KongDoo Panthera,10,Vonethil,0|5|0,Lucio,coolmatt69,4|3|0,Zarya,budS,2|7|0,"Roadhog, Soldier:76",Stoop,3|6|0,Reinhardt,custa,2|5|0,Ana,Hafficool,5|4|0,"Hanzo, Soldier:76, D.Va",https|//youtu.be/Rdd9AMMLweE?t=33m20s
4222,4,fnatic.ow,2,2,D,Eichen,Hybrid,0/2CP,7,38,KongDoo Panthera,10,Vonethil,2|4|0,Lucio,coolmatt69,0|7|0,"Torbjorn, Zarya",budS,2|4|0,"Tracer, Soldier:76",Stoop,3|2|0,Reinhardt,custa,0|2|0,Ana,Hafficool,2|3|0,"D.Va, Roadhog",https|//youtu.be/Rdd9AMMLweE?t=41m46s
4311,4,KongDoo Panthera,3,1,D,Hana,Assault,1/2CP,10,62,fnatic.ow,7,wakawaka,9|3|1,D.Va,EVERMORE,7|5|0,Roadhog,Rascal,9|5|0,Mei,LuffyOW,2|6|0,Ana,Fissure,7|4|0,Reinhardt,BlingOW,4|3|0,"Soldier:76, Lucio",https|//youtu.be/UgKM1x4cSqA?t=2m45s
4321,4,KongDoo Panthera,3,2,A,Hana,Assault,Win,10,62,fnatic.ow,7,wakawaka,1|1|0,Tracer,EVERMORE,3|0|1,D.Va,Rascal,6|2|0,"Genji, Pharah, Zarya",LuffyOW,1|0|0,Ana,Fissure,6|1|0,"Winston, Reinhardt",BlingOW,1|3|0,Lucio,https|//youtu.be/UgKM1x4cSqA?t=12m49s
4312,4,fnatic.ow,3,1,A,Hana,Assault,1/2CP,7,38,KongDoo Panthera,10,Vonethil,1|7|0,Lucio,coolmatt69,7|7|0,Zarya,budS,10|5|0,Tracer,Stoop,1|7|0,Reinhardt,custa,1|6|0,Ana,Hafficool,6|6|1,"Widowmaker, D.Va, Mei",https|//youtu.be/UgKM1x4cSqA?t=2m45s
4322,4,fnatic.ow,3,2,D,Hana,Assault,Loss,7,38,KongDoo Panthera,10,Vonethil,0|3|0,"Symmetra, Lucio",coolmatt69,1|5|0,"Zarya, Roadhog, Tracer",budS,2|1|1,Soldier:76,Stoop,0|4|0,Reinhardt,custa,0|2|0,Ana,Hafficool,4|3|0,"Lucio, D.Va",https|//youtu.be/UgKM1x4cSqA?t=12m49s
8111,8,RunAway,1,1,N/A,Oasis,Control,Win,39,77,Flash Lux,459,Runner-,1|2|0,Lucio,Shine.-,0|2|0,Ana,Kox,3|2|0,"Pharah, Soldier:76",Haksal-,8|1|0,Genji,KAISER-,3|4|0,Winston,StitchOW,8|0|0,Tracer,https|//youtu.be/rTdk5n41SGM?t=19m2s
8112,8,Flash Lux,1,1,N/A,Oasis,Control,Loss,459,23,RunAway,39,Weeso,3|3|1,D.Va,Modern,1|4|0,Winston,Kisu,0|5|0,Mercy,Fleta,4|4|0,Pharah,Veil,3|3|0,Tracer,Unis,0|4|0,Lucio,https|//youtu.be/rTdk5n41SGM?t=19m2s
8121,8,RunAway,1,2,N/A,Oasis,Control,Win,39,77,Flash Lux,459,Runner-,2|1|0,Lucio,Shine.-,2|0|0,Ana,Kox,5|1|0,Zarya,Haksal-,4|2|0,Genji,KAISER-,2|2|0,Reinhardt,StitchOW,7|1|0,Tracer,https|//youtu.be/rTdk5n41SGM?t=25m43s
8122,8,Flash Lux,1,2,N/A,Oasis,Control,Loss,459,23,RunAway,39,Weeso,1|4|0,Reinhardt,Modern,0|4|0,Zarya,Kisu,1|4|0,Ana,Fleta,1|4|0,Roadhog,Veil,3|3|0,Tracer,Unis,1|3|0,Lucio,https|//youtu.be/rTdk5n41SGM?t=25m43s
